Retailer Number,Retailer,category no,Staging table Name,Target Table,S3Flag,MySQLFlag,ESFlag
120,ebay,1,production.STG_EBAY_COLLECTIBLES,PRICE_DOT_COM_TRGT.TGT_EBAY_ARTS,0,0,0
120,ebay,1281,production.STG_EBAY_PETS,PRICE_DOT_COM_TRGT.TGT_EBAY_BOOKS,0,0,1
120,ebay,267,production.STG_EBAY_BOOKS,PRICE_DOT_COM_TRGT.TGT_EBAY_DOLLS,0,0,1
120,ebay,237,production.STG_EBAY_DOLLS,PRICE_DOT_COM_TRGT.TGT_EBAY_ELECTRONICS,0,0,1
120,ebay,550,production.STG_EBAY_ARTS,PRICE_DOT_COM_TRGT.TGT_EBAY_GLASS,0,0,1
120,ebay,293,production.STG_EBAY_ELECTRONICS,PRICE_DOT_COM_TRGT.TGT_EBAY_JEWELRY_WATCHES,0,0,1
120,ebay,870,production.STG_EBAY_GLASS,PRICE_DOT_COM_TRGT.TGT_EBAY_MUSICINSTRUMENT,0,0,1
120,ebay,281,production.STG_EBAY_JEWELRY_WATCHES,PRICE_DOT_COM_TRGT.STG_EBAY_PHOTOS,0,0,1
120,ebay,619,production.STG_EBAY_MUSICINSTRUMENT,PRICE_DOT_COM_TRGT.TGT_EBAY_SPECIAL_SERVICES,0,0,1
120,ebay,625,production.STG_EBAY_PHOTOS,PRICE_DOT_COM_TRGT.TGT_EBAY_SPORTS_GOODS,0,0,1
120,ebay,316,production.STG_EBAY_SPECIAL_SERVICES,PRICE_DOT_COM_TRGT.TGT_EBAY_TICKETS,0,0,1
120,ebay,220,production.STG_EBAY_TOYS,PRICE_DOT_COM_TRGT.TGT_EBAY_BABY,0,0,1
120,ebay,1249,production.STG_EBAY_VIDEOGAMES,PRICE_DOT_COM_TRGT.TGT_EBAY_TRAVEL,0,0,1
120,ebay,2984,production.STG_EBAY_BABY,PRICE_DOT_COM_TRGT.TGT_EBAY_REALESTATE,0,0,1
120,ebay,3252,production.STG_EBAY_TRAVEL,PRICE_DOT_COM_TRGT.TGT_EBAY_COINS,0,0,1
120,ebay,11232,production.STG_EBAY_MOVIES,PRICE_DOT_COM_TRGT.TGT_EBAY_CLOTH,0,0,1
120,ebay,11233,production.STG_EBAY_MUSIC,PRICE_DOT_COM_TRGT.TGT_EBAY_HOME,0,0,1
120,ebay,11450,production.STG_EBAY_CLOTH,,0,0,0
120,ebay,20081,production.STG_EBAY_HOME,,0,0,0
120,ebay,26395,production.STG_EBAY_HEALTH,,0,0,0
120,ebay,58058,production.STG_EBAY_COMPUTERS,,0,0,0
120,ebay,64482,production.STG_EBAY_SPORTSMEM,,0,0,0
120,ebay,17208,production.STG_EBAY_GIFTS,,0,0,0
120,ebay,12576,production.STG_EBAY_BUSINESS,,0,0,0
120,ebay,14339,production.STG_EBAY_CRAFTS,,0,0,0
120,ebay,15032,production.STG_EBAY_MOBILE,,0,0,0
120,ebay,20081,production.STG_EBAY_ANTIQUES,,0,0,0
120,ebay,888,production.STG_EBAY_SPORTS_GOODS,,0,0,0
120,ebay,172008,production.STG_EBAY_USED_SAMPLE,,1,1,1
