Retailer Number,Retailer,Source/Affiliate Type,Username,Password,Server Name,Folder 1,File Name,Staging table Name,Target Table,S3Flag,MySQLFlag,ESFlag
120,ebay,,,,,,,production.STG_EBAY_ARTS,PRICE_DOT_COM_TRGT.TGT_EBAY_ARTS,0,0,1
120,ebay,,,,,,,production.STG_EBAY_PETS,PRICE_DOT_COM_TRGT.TGT_EBAY_PETS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_BOOKS,PRICE_DOT_COM_TRGT.TGT_EBAY_BOOKS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_DOLLS,PRICE_DOT_COM_TRGT.TGT_EBAY_DOLLS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_ELECTRONICS,PRICE_DOT_COM_TRGT.TGT_EBAY_ELECTRONICS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_GLASS,PRICE_DOT_COM_TRGT.TGT_EBAY_GLASS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_JEWELRY_WATCHES,PRICE_DOT_COM_TRGT.TGT_EBAY_JEWELRY_WATCHES,0,0,0
120,ebay,,,,,,,production.STG_EBAY_MUSICINSTRUMENT,PRICE_DOT_COM_TRGT.TGT_EBAY_MUSICINSTRUMENT,0,0,0
120,ebay,,,,,,,production.STG_EBAY_PHOTOS,PRICE_DOT_COM_TRGT.STG_EBAY_PHOTOS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_SPECIAL_SERVICES,PRICE_DOT_COM_TRGT.TGT_EBAY_SPECIAL_SERVICES,0,0,0
120,ebay,,,,,,,production.STG_EBAY_SPORTS_GOODS,PRICE_DOT_COM_TRGT.TGT_EBAY_SPORTS_GOODS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_TICKETS,PRICE_DOT_COM_TRGT.TGT_EBAY_TICKETS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_TOYS,PRICE_DOT_COM_TRGT.TGT_EBAY_TOYS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_VIDEOGAMES,PRICE_DOT_COM_TRGT.TGT_EBAY_VIDEOGAMES,0,0,0
120,ebay,,,,,,,production.STG_EBAY_BABY,PRICE_DOT_COM_TRGT.TGT_EBAY_BABY,0,0,0
120,ebay,,,,,,,production.STG_EBAY_TRAVEL,PRICE_DOT_COM_TRGT.TGT_EBAY_TRAVEL,0,0,0
120,ebay,,,,,,,production.STG_EBAY_REALESTATE,PRICE_DOT_COM_TRGT.TGT_EBAY_REALESTATE,0,0,0
120,ebay,,,,,,,production.STG_EBAY_COINS,PRICE_DOT_COM_TRGT.TGT_EBAY_COINS,0,0,0
120,ebay,,,,,,,production.STG_EBAY_MOVIES,PRICE_DOT_COM_TRGT.TGT_EBAY_MOVIES,0,0,0
120,ebay,,,,,,,production.STG_EBAY_MUSIC,PRICE_DOT_COM_TRGT.TGT_EBAY_MUSICINSTRUMENT,0,0,0
120,ebay,,,,,,,production.STG_EBAY_CLOTH,PRICE_DOT_COM_TRGT.TGT_EBAY_CLOTH,0,0,0
120,ebay,,,,,,,production.STG_EBAY_HOME,PRICE_DOT_COM_TRGT.TGT_EBAY_HOME,0,0,0
